theta,epsilon,delta_v
0.25,0.0,0.49870436492880704
0.25,0.1,0.2098711400389107
0.25,0.2,0.2335087339727356
0.25,0.3,0.25317495034189
0.25,0.4,0.23565697695384613
0.25,0.5,0.22202568571718015
0.25,0.6,0.21570863308667546
0.25,0.7,0.2138721287569219
0.25,0.8,0.20012035814259854
0.25,0.9,0.19541196602246674
0.25,1.0,0.17655933969198329
0.5,0.0,0.5916367714494226
0.5,0.1,0.3631217568304509
0.5,0.2,0.3185046028510683
0.5,0.3,0.2446948259983841
0.5,0.4,0.2420653326552094
0.5,0.5,0.20016874620194466
0.5,0.6,0.17649868651702455
0.5,0.7,0.17167985033578617
0.5,0.8,0.16398199400933824
0.5,0.9,0.15637426538523533
0.5,1.0,0.15029266578392167
1.0,0.0,0.7034135741494365
1.0,0.1,0.5499558371265079
1.0,0.2,0.402907092215912
1.0,0.3,0.32476773513586077
1.0,0.4,0.24281165290787438
1.0,0.5,0.2041376991068148
1.0,0.6,0.17423206175023642
1.0,0.7,0.13066751533301918
1.0,0.8,0.13058348149633386
1.0,0.9,0.1115285839628608
1.0,1.0,0.09014340709874022
2.0,0.0,0.7822958589167376
2.0,0.1,0.6522316927791552
2.0,0.2,0.5088281866430109
2.0,0.3,0.37225712271464134
2.0,0.4,0.282338588429767
2.0,0.5,0.19553299791134218
2.0,0.6,0.13713027796852945
2.0,0.7,0.10560134469688591
2.0,0.8,0.075097919785098
2.0,0.9,0.07374652761185509
2.0,1.0,0.04050808023207348
4.0,0.0,0.8359688337111845
4.0,0.1,0.676861127010579
4.0,0.2,0.5342352544943143
4.0,0.3,0.40852646878964627
4.0,0.4,0.30780435144266793
4.0,0.5,0.22448306080439026
4.0,0.6,0.16381301163889567
4.0,0.7,0.10901617349263251
4.0,0.8,0.060037173134458645
4.0,0.9,0.03613531382335247
4.0,1.0,-0.001181574714457008
