theta,gamma,delta_v
0.1,0.0,-0.11937878353014925
0.1,0.1,-0.15794191575675953
0.1,0.2,-0.19137580847845193
0.1,0.3,-0.2268965467534882
0.1,0.4,-0.24764842547053953
0.1,0.5,-0.27652193373231043
0.1,0.6,-0.28525948167659576
0.1,0.7,-0.30589663734650074
0.1,0.8,-0.3116017680205405
0.1,0.9,-0.3323629058533839
0.1,1.0,-0.33770990132493084
0.2,0.0,0.3470664375366488
0.2,0.1,0.329850730820589
0.2,0.2,0.28111052774560485
0.2,0.3,0.23564701553741865
0.2,0.4,0.20932885075281504
0.2,0.5,0.15951901369258495
0.2,0.6,0.14563840436887632
0.2,0.7,0.10358631719018613
0.2,0.8,0.09840356568566469
0.2,0.9,0.05328256772935308
0.2,1.0,0.03469322091027669
0.25,0.0,0.44278939133401446
0.25,0.1,0.44627128474727323
0.25,0.2,0.4254698551302014
0.25,0.3,0.4019053249885737
0.25,0.4,0.3868794070306702
0.25,0.5,0.3497814812324963
0.25,0.6,0.34020772549727235
0.25,0.7,0.30273507610045114
0.25,0.8,0.2999444022072934
0.25,0.9,0.2588500878850142
0.25,1.0,0.23827244838832187
0.3,0.0,0.4816695213229162
0.3,0.1,0.4995813037948368
0.3,0.2,0.5035511236809991
0.3,0.3,0.5013095300871473
0.3,0.4,0.49921763739727254
0.3,0.5,0.48031416889874523
0.3,0.6,0.4775720634154786
0.3,0.7,0.454173086672464
0.3,0.8,0.453864116996966
0.3,0.9,0.4253709606980939
0.3,1.0,0.40454789019495235
0.35,0.0,0.49518976496449474
0.35,0.1,0.5242770062215241
0.35,0.2,0.5449919327760564
0.35,0.3,0.5588684555488632
0.35,0.4,0.5701049745198283
0.35,0.5,0.5689524552885517
0.35,0.6,0.5745485275242201
0.35,0.7,0.5625205057667052
0.35,0.8,0.5664713739775796
0.35,0.9,0.5529389442155686
0.35,1.0,0.5394875139783294
0.4,0.0,0.4987449984764756
0.4,0.1,0.5351117308464389
0.4,0.2,0.5646192926745041
0.4,0.3,0.5869948508405143
0.4,0.4,0.6051444750903157
0.4,0.5,0.6139912086596832
0.4,0.6,0.6242838744689585
0.4,0.7,0.6274795259813708
0.4,0.8,0.6359835187687893
0.4,0.9,0.6315597363041107
0.4,1.0,0.6232685809186822
0.45,0.0,0.4996442370029557
0.45,0.1,0.5412700631406353
0.45,0.2,0.5755303317379777
0.45,0.3,0.6036218244065692
0.45,0.4,0.6277499063161965
0.45,0.5,0.6449646605292177
0.45,0.6,0.6614075619735995
0.45,0.7,0.672380682335833
0.45,0.8,0.6844458885415332
0.45,0.9,0.688814452055726
0.45,1.0,0.6891160699490491
0.5,0.0,0.49989600943867274
0.5,0.1,0.5459094194607481
0.5,0.2,0.5836715594754659
0.5,0.3,0.6153037143164567
0.5,0.4,0.6425604122265531
0.5,0.5,0.6641120994084574
0.5,0.6,0.6832117940564946
0.5,0.7,0.6977425604915566
0.5,0.8,0.7114814228319877
0.5,0.9,0.7211825595250941
0.5,1.0,0.7259795498085699
0.6,0.0,0.4999997800378271
0.6,0.1,0.5544994964236519
0.6,0.2,0.598324443329823
0.6,0.3,0.6342007800115966
0.6,0.4,0.6641833561127499
0.6,0.5,0.6893768364517722
0.6,0.6,0.7111531813960424
0.6,0.7,0.729282766005587
0.6,0.8,0.7459686673853314
0.6,0.9,0.7596051029163149
0.6,1.0,0.7687766491459468
0.8,0.0,0.5000006119806731
0.8,0.1,0.5693805982846377
0.8,0.2,0.6219924214150823
0.8,0.3,0.6632590930495144
0.8,0.4,0.6964904226546521
0.8,0.5,0.7238213029432352
0.8,0.6,0.7466910002016387
0.8,0.7,0.7661051924584591
0.8,0.8,0.7827787885951314
0.8,0.9,0.797263944509547
0.8,1.0,0.8099519605491734
1.0,0.0,0.5000096873009668
1.0,0.1,0.5834270047802963
1.0,0.2,0.6430436892898066
1.0,0.3,0.6877810861426201
1.0,0.4,0.7225921999310206
1.0,0.5,0.750448986513108
1.0,0.6,0.7732435929201266
1.0,0.7,0.7922382532582748
1.0,0.8,0.8083073944402286
1.0,0.9,0.8220759987520455
1.0,1.0,0.8340026973677293
2.0,0.0,0.504634366460586
2.0,0.1,0.6441537420070749
2.0,0.2,0.7235158795309452
2.0,0.3,0.7742273673100881
2.0,0.4,0.8093427877050253
2.0,0.5,0.8350773608704684
2.0,0.6,0.8547398450606145
2.0,0.7,0.8702491131829925
2.0,0.8,0.8827933624103241
2.0,0.9,0.89314707799425
2.0,1.0,0.9018363693576902
4.0,0.0,0.5908565800716594
4.0,0.1,0.7345703450452448
4.0,0.2,0.8096073346712817
4.0,0.3,0.8531659827780212
4.0,0.4,0.8809030970857833
4.0,0.5,0.8999289498553762
4.0,0.6,0.9137481185486054
4.0,0.7,0.9242326982821518
4.0,0.8,0.9324585822991047
4.0,0.9,0.9390842082573089
4.0,1.0,0.9445342503068522
